file,result_set,workload,run,operation,rw,bs,iodepth,size,direct,runtime_sec,bandwidth_mib_s,iops,clat_mean_us,clat_p99_us,clat_p999_us,clat_max_us,fio_version,timestamp,timestamp_ms,relative_path
sustained_rand_read_120s_qd16_repeat3_run1.json,sustained_rand_read_120s_qd16_repeat3,rand_read,1,read,randread,4k,16,512M,1,120.001,178.3192491531372,45649.727919,304.743362736,692.224,995.328,24747.868,fio-3.42,1784525227,1784525227836,results\external_ssd\sustained_rand_read_120s_qd16_repeat3\sustained_rand_read_120s_qd16_repeat3_run1.json
sustained_rand_read_120s_qd16_repeat3_run2.json,sustained_rand_read_120s_qd16_repeat3,rand_read,2,read,randread,4k,16,512M,1,120.001,159.32591819763184,40787.435105,326.329256887,823.296,2736.128,60423.824,fio-3.42,1784525348,1784525348558,results\external_ssd\sustained_rand_read_120s_qd16_repeat3\sustained_rand_read_120s_qd16_repeat3_run2.json
sustained_rand_read_120s_qd16_repeat3_run3.json,sustained_rand_read_120s_qd16_repeat3,rand_read,3,read,randread,4k,16,512M,1,120.001,172.93644905090332,44271.731069,310.855772044,733.184,1662.976,120347.247,fio-3.42,1784525469,1784525469372,results\external_ssd\sustained_rand_read_120s_qd16_repeat3\sustained_rand_read_120s_qd16_repeat3_run3.json
sustained_rand_read_120s_qd32_repeat3_run1.json,sustained_rand_read_120s_qd32_repeat3,rand_read,1,read,randread,4k,32,512M,1,120.001,220.922833442688,56556.245365,442.212291156,1089.536,1581.056,39309.74,fio-3.42,1784526638,1784526638443,results\external_ssd\sustained_rand_read_120s_qd32_repeat3\sustained_rand_read_120s_qd32_repeat3_run1.json
sustained_rand_read_120s_qd32_repeat3_run2.json,sustained_rand_read_120s_qd32_repeat3,rand_read,2,read,randread,4k,32,512M,1,120.001,228.55053615570068,58508.937426,437.012911317,1089.536,1679.36,36725.41,fio-3.42,1784526759,1784526759340,results\external_ssd\sustained_rand_read_120s_qd32_repeat3\sustained_rand_read_120s_qd32_repeat3_run2.json
sustained_rand_read_120s_qd32_repeat3_run3.json,sustained_rand_read_120s_qd32_repeat3,rand_read,3,read,randread,4k,32,512M,1,120.001,255.90050411224365,65510.529079,420.652052574,1105.92,1515.52,21034.311,fio-3.42,1784526880,1784526880052,results\external_ssd\sustained_rand_read_120s_qd32_repeat3\sustained_rand_read_120s_qd32_repeat3_run3.json
sustained_rand_write_120s_512M_4k_qd16_direct1_repeat3_run1.json,sustained_rand_write_120s_512M_4k_qd16_direct1_repeat3,rand_write,1,write,randwrite,4k,16,512M,1,120.001,129.58589839935303,33173.990217,252.481865446,724.992,3522.56,93979.258,fio-3.42,1784605779,1784605779053,results\external_ssd\sustained_rand_write_120s_512M_4k_qd16_direct1_repeat3\sustained_rand_write_120s_512M_4k_qd16_direct1_repeat3_run1.json
sustained_rand_write_120s_512M_4k_qd16_direct1_repeat3_run2.json,sustained_rand_write_120s_512M_4k_qd16_direct1_repeat3,rand_write,2,write,randwrite,4k,16,512M,1,120.001,121.79791069030762,31180.265164,269.355717545,1187.84,4947.968,38345.374,fio-3.42,1784605900,1784605900113,results\external_ssd\sustained_rand_write_120s_512M_4k_qd16_direct1_repeat3\sustained_rand_write_120s_512M_4k_qd16_direct1_repeat3_run2.json
sustained_rand_write_120s_512M_4k_qd16_direct1_repeat3_run3.json,sustained_rand_write_120s_512M_4k_qd16_direct1_repeat3,rand_write,3,write,randwrite,4k,16,512M,1,120.001,124.01927852630615,31748.935426,263.924818616,937.984,5210.112,51907.127,fio-3.42,1784606020,1784606020900,results\external_ssd\sustained_rand_write_120s_512M_4k_qd16_direct1_repeat3\sustained_rand_write_120s_512M_4k_qd16_direct1_repeat3_run3.json
sustained_rand_write_120s_qd16_repeat3_run1.json,sustained_rand_write_120s_qd16_repeat3,rand_write,1,write,randwrite,4k,16,512M,1,120.001,154.83018684387207,39636.528029,211.228592854,552.96,806.912,34681.685,fio-3.42,1784522929,1784522929017,results\external_ssd\sustained_rand_write_120s_qd16_repeat3\sustained_rand_write_120s_qd16_repeat3_run1.json
