result_set,workload,run,window,sample_count,bandwidth_mib_s_mean,iops_mean,clat_avg_us_mean,clat_avg_us_max,first_iops_mean,last_iops_mean,iops_last_over_first,first_clat_avg_us_mean,last_clat_avg_us_mean,clat_last_over_first
sustained_rand_read_120s_qd16_repeat3,rand_read,1,first_third,81,176.34794921875,45144.925,307.33500000000004,350.353,45144.925,44947.4,0.9956246466241776,307.33500000000004,308.996575,1.005406396928433
sustained_rand_read_120s_qd16_repeat3,rand_read,1,last_third,80,175.5762451171875,44947.4,308.996575,415.255,45144.925,44947.4,0.9956246466241776,307.33500000000004,308.996575,1.005406396928433
sustained_rand_read_120s_qd16_repeat3,rand_read,1,middle,80,182.8652099609375,46813.4,302.8465,315.256,45144.925,44947.4,0.9956246466241776,307.33500000000004,308.996575,1.005406396928433
sustained_rand_read_120s_qd16_repeat3,rand_read,2,first_third,81,146.158642578125,37416.55,342.522,413.805,37416.55,39234.205128205125,1.0485789076813634,342.522,347.88495,1.0156572424544994
sustained_rand_read_120s_qd16_repeat3,rand_read,2,last_third,80,153.25923978365384,39234.205128205125,347.88495,586.508,37416.55,39234.205128205125,1.0485789076813634,342.522,347.88495,1.0156572424544994
sustained_rand_read_120s_qd16_repeat3,rand_read,2,middle,80,178.4424072265625,45681.125,308.349975,417.634,37416.55,39234.205128205125,1.0485789076813634,342.522,347.88495,1.0156572424544994
sustained_rand_read_120s_qd16_repeat3,rand_read,3,first_third,81,175.44580078125,44914.075,312.1108780487805,391.259,44914.075,48095.85,1.0708413787882751,312.1108780487805,308.261625,0.9876670333541566
sustained_rand_read_120s_qd16_repeat3,rand_read,3,last_third,80,187.8746826171875,48095.85,308.261625,777.043,44914.075,48095.85,1.0708413787882751,312.1108780487805,308.261625,0.9876670333541566
sustained_rand_read_120s_qd16_repeat3,rand_read,3,middle,80,155.2826904296875,39752.25,338.17037500000004,521.185,44914.075,48095.85,1.0708413787882751,312.1108780487805,308.261625,0.9876670333541566
sustained_rand_read_120s_qd32_repeat3,rand_read,1,first_third,81,213.474365234375,54649.225,450.9460243902439,538.522,54649.225,56197.55,1.028332057773921,450.9460243902439,450.8054249999999,0.9996882123743432
